triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
GCA_20045_Amaapr1,20045,0.0,3.802321716761161,0.8899325660839122,0.1100674339160878,0.0026197178308427944,0.0038280689132530123,-740.6737819045273,-753.4366967128257,83
GCA_20045_Amaapr1,Amaapr1,0.0,9.055468986883131,0.9223966509488156,0.07760334905118452,0.01224254648330019,0.019787864442156862,-614.1170454595591,-591.6030601608416,102
GCA_20045_30000,GCA,0.0,24.77978243047901,0.9820265031294203,0.017973496870579683,0.0038510927312510423,0.005263622725179856,-2461.152937996615,-2355.668660487822,278
GCA_20045_30000,20045,0.0,32.05183355340052,0.9868995786460196,0.013100421353980376,0.0035151187158229446,0.004767415626200873,-2077.5811263268215,-1985.0117986004352,229
GCA_20045_30000,30000,0.0,18.28026161810646,0.973568780981654,0.026431219018345952,0.0044435173684573325,0.006230205902061856,-1642.0870117683796,-1577.130349736764,194
GCA_20045_30021,GCA,0.0,10.404309181215798,0.9492891157559866,0.05071088424401336,0.0032760272120264896,0.004846553049375001,-1417.1169133315282,-1380.3608384013876,160
GCA_20045_30021,20045,0.0,34.07149142654038,0.9931662850479487,0.006833714952051175,0.003944526475741851,0.004859174756947608,-3923.789741651737,-3792.921986824656,439
GCA_20045_30021,30021,0.0,11.822164052201998,0.9390187118289816,0.060981288171018284,0.006773802126784402,0.011338903990099009,-738.9030638102918,-698.2470378049759,101
GCA_20045_11667,GCA,0.0,10.123641651570994,0.9333774210773115,0.06662257892268827,0.008191745900758036,0.013186889474025973,-528.6073023337823,-508.25014793054896,77
GCA_20045_11667,20045,0.0,114.30487361929994,0.9836065573770492,0.01639344262295082,0.005291432699662909,0.015206785913114753,-493.5591011225761,-384.58277424639783,61
GCA_20045_11667,11667,0.0,1.1909424542200695,0.22649870845693293,0.773501291543067,0.004893351462406698,0.007707490622202487,-4445.899181339848,-4346.290224766576,563
GCA_Amaapr1_30000,GCA,0.0,24.400422951685034,0.9806767714659346,0.019323228534065297,0.003398723873115201,0.0047162953057915055,-2353.5297017456896,-2251.23018239333,259
GCA_Amaapr1_30000,Amaapr1,0.0,14.473480147809768,0.960827591435902,0.03917240856409794,0.006142674677551817,0.009111086032258065,-1916.3720703222202,-1828.8251986148427,248
GCA_Amaapr1_30000,30000,0.0,9.735802937688485,0.9476638091368288,0.0523361908631712,0.0023543101834230455,0.003448156373979592,-1866.4265322252143,-1825.3287907904808,196
GCA_Amaapr1_30021,GCA,0.0,22.138145088592225,0.9606073189867856,0.03939268101321436,0.0034076206338928263,0.006090032892156863,-1358.624945669008,-1249.9067117353725,153
GCA_Amaapr1_30021,Amaapr1,0.0,9.465306658871487,0.965768285002553,0.03423171499744692,0.005498429356350621,0.007156909059234234,-3554.9611454914984,-3492.337428564495,444
GCA_Amaapr1_30021,30021,0.0,9.897699912440466,0.9442015788862849,0.05579842111371501,0.003098693663307655,0.004614025978301887,-944.7103949439852,-923.6113125580418,106
GCA_Amaapr1_11667,GCA,0.0,11.007761989674368,0.9474236310582546,0.05257636894174554,0.006034271095460427,0.009355754107594937,-598.5777973993293,-575.7692187056598,79
GCA_Amaapr1_11667,Amaapr1,0.0,7.138270764382517,0.9349418529134518,0.06505814708654808,0.019853280924439554,0.028692895337349398,-421.83800267951494,-419.06471158201526,83
GCA_Amaapr1_11667,11667,0.0,1.3688916740515673,0.2179171648065748,0.7820828351934251,0.0044947457250501316,0.007564844989463957,-4306.563180175607,-4196.457963800151,541
GCA_30000_30021,GCA,0.0,9.81423019771131,0.9339520336275688,0.06604796637243104,0.004189589929283365,0.006599685072625698,-1478.7985224123925,-1434.2351525479837,179
GCA_30000_30021,30000,0.0,31.537330076063107,0.9925126536933808,0.007487346306619187,0.0042995101257134296,0.005113799332273838,-3579.917467198448,-3491.6010258211068,409
GCA_30000_30021,30021,0.0,21.75921539253981,0.9623621669571886,0.037637833042811396,0.005237503188606367,0.008655032850877193,-909.4874681280811,-850.1758607582268,114
GCA_30000_11667,GCA,0.0,6.308057002954283,0.8636156535887696,0.13638434641123046,0.006716816284341854,0.012107069041558442,-527.2305756508466,-521.4069244914638,77
GCA_30000_11667,30000,0.0,45.41783091677319,0.9830508447479434,0.01694915525205661,0.013317160546666016,0.023568627825423728,-367.8498743825892,-320.1674386815201,59
GCA_30000_11667,11667,0.0,1.07344044893026,0.21446698677653991,0.7855330132234601,0.0054629579180139375,0.008277969177915194,-4385.085401991307,-4288.647819350441,566
GCA_30021_11667,GCA,0.0,6.425530375450665,0.8906415168022447,0.10935848319775536,0.006149929685334098,0.010151080005263156,-406.75492270050427,-405.23691864744893,57
GCA_30021_11667,30021,0.0,29.819458728344408,0.9756095122391684,0.024390487760831598,0.020263613954388776,0.03500141885609756,-215.782586415283,-189.18049565793333,41
